MPN,Value,Tolerance,Wattage,Voltage,Current,Dielectric Characteristic,Resistance,Impedance,Package (LxW),Description,Manufacturer,Datasheet
K471J15C0GF53L2,470pF,5%,,50V,,C0G,,,Radial Leaded,Multilayer Ceramic Capacitor,Vishay,https://4donline.ihs.com/images/VipMasterIC/IC/VISH/VISH-S-A0025625107/VISH-S-A0025625143-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
GCM21BR71A106KE22L,10uF,10%,,10V,,X7R,,,0805,Multilayer Ceramic Capacitor,Murata Electronics,https://pim.murata.com/en-us/pim/details/?partNum=GCM21BR71A106KE22%23
C3216X7R2A104K160AA,100nF,10%,,100V,,X7R,,,1206,Multilayer Ceramic Capacitor,TDK Corporation,https://www.farnell.com/datasheets/4526215.pdf
C1206C334K5RACTU,330nF,10%,,50V,,X7R,,,1206,Multilayer Ceramic Capacitor,Kemet,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf
C0603C333K5RACTU,33nF,10%,,50V,,X7R,,,0603,Multilayer Ceramic Capacitor,Kemet,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf
08056C106KAT4A,10uF,10%,,6.3V,,X7R,,,0805,Multilayer Ceramic Capacitor,Kyocera,https://datasheets.kyocera-avx.com/X7RDielectric.pdf
,,,,,,,,,,,,
NRS4018T1R0NDGJV,1uH,30%,,,3.2A,,32.4mR,,4.00mm x 4.00mm,Fixed Inductors,Taiyo Yuden,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7087/NR-H-S-V%20Datasheet.pdf
MPZ1608S601A,,25%,,,1A,,0.15R,600R,0603,Ferrite Bead,TDK Corporation,https://www.farnell.com/datasheets/84903.pdf
BLM21PG221SH1D,,25%,,,2A,,0.045R,220R,0805,Ferrite Bead,Murata Electronics,https://4donline.ihs.com/images/VipMasterIC/IC/MURE/MURE-S-A0014835407/MURE-S-A0014835654-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
742792023,,25%,,,3A,,0.03R,120R,0805,Ferrite Bead,Würth Elektronik,https://www.farnell.com/datasheets/1919974.pdf
810-MPZ1608S601ATA00,,25%,,,1A,,0.15R,600R,0603,Ferrite Bead,Würth Elektronik,https://product.tdk.com/system/files/dam/doc/product/emc/emc/beads/catalog/beads_commercial_power_mpz1608_en.pdf
ACT1210L-201-2P-TL00,200uH,,,,70mA,,5.5R,,3.20mm x 2.50mm,Common Mode Choke,TDK Corporation,https://product.tdk.com/en/system/files/dam/doc/product/emc/emc/cmf_cmc/catalog/cmf_automotive_signal_act1210l-201_en.pdf
BLM18KG221SH1D,,25%,,,2.2A,,0.05R,220R,0603,Ferrite Bead,Murata Electronics,https://www.murata.com/en-us/products/productdata/8796737273886/QNFA9101.pdf
LQM2MPN2R2MG0L,2.2uH,20%,,,1.2A,,0.138R,,0806,Multilayer Inductor,Murata Electronics,https://www.farnell.com/datasheets/3006839.pdf
DLW21SN900HQ2L,,,,,280mA,,0.41R,90R,2.00mm x 1.20mm,Common Mode Choke,Murata Electronics,https://www.farnell.com/datasheets/1888760.pdf
CLF10060NIT-101M-D,100uH,20%,,,1.35A,,0.18R,,10.10mm x 10.00mm,Fixed Inductors,TDK Corporation,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_power_clf10060ni-d_en.pdf
7447709100,10uH,20%,,,7.1A,,0.21R,,12.00mm x 12.00mm,Fixed Inductors,Würth Elektronik,https://www.we-online.com/components/products/datasheet/7447709100.pdf
744770122,22uH,20%,,,4.6A,,0.43R,,12.00mm x 12.00mm,Fixed Inductors,Würth Elektronik,https://www.we-online.com/components/products/datasheet/744770122.pdf
XAL4020-102MEC,1uH,20%,,,6.7A,,0.146R,,4.00mm x 4.00mm,Fixed Inductors,Coilcraft,https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf
SRP6540-5R6MDKR-N0,5.6uH,20%,,,5.5A,,0.038R,,7.20mm x 6.50mm,Fixed Inductors,Bourns Inc.,https://www.farnell.com/datasheets/3736846.pdf
IHLP2020CZER4R7M5A,4.7uH,20%,,,3.1A,,0.0783R,,5.18mm x 5.18mm,Fixed Inductors,Vishay,https://www.vishay.com/docs/34384/ihlp-2020cz-5a.pdf
